Gear,Response,mean_rev,med_rev,std_rev,Sample,Response_Rate
Gillnet,9,125915,111515,103932,89,10
Handgear,53,30947,12789,86192,365,15
Longline,4,229915,,,24,17
Pot/Trap,158,209817,144308,266813,1347,12
Scallop Dredge,28,905982,993348,704579,219,13
Trawl,26,762512,636913,745241,190,14
