Gear,med_rev,med_op,med_tp,op_margin,tp_margin
Dredge_Scallop,993348,454378,161993,45.7,16.3
Gillnet,111515,27782,-4693,24.9,-4.2
Handgear,12789,3572,-15395,27.9,-120.4
Longline,222887,96359,737,43.2,0.3
Pot/Trap,144308,54422,-3419,37.7,-2.4
Trawl,636913,269715,22859,42.3,3.6
